tool,th,th_class
SpliceAI_DS,0.05,above
SpliceAI_DS,0.1,above
SpliceAI_DS,0.15000000000000002,above
SpliceAI_DS,0.2,above
SpliceAI_DS,0.25,above
SpliceAI_DS,0.3,above
SpliceAI_DS,0.35000000000000003,above
SpliceAI_DS,0.4,above
SpliceAI_DS,0.45,above
SpliceAI_DS,0.5,above
SpliceAI_DS,0.55,above
SpliceAI_DS,0.6000000000000001,above
SpliceAI_DS,0.6500000000000001,above
SpliceAI_DS,0.7000000000000001,above
SpliceAI_DS,0.7500000000000001,above
SpliceAI_DS,0.8,above
SpliceAI_DS,0.8500000000000001,above
SpliceAI_DS,0.9000000000000001,above
SpliceAI_DS,0.95,above
ada_score,0.05,above
ada_score,0.1,above
ada_score,0.15000000000000002,above
ada_score,0.2,above
ada_score,0.25,above
ada_score,0.3,above
ada_score,0.35000000000000003,above
ada_score,0.4,above
ada_score,0.45,above
ada_score,0.5,above
ada_score,0.55,above
ada_score,0.6000000000000001,above
ada_score,0.6500000000000001,above
ada_score,0.7000000000000001,above
ada_score,0.7500000000000001,above
ada_score,0.8,above
ada_score,0.8500000000000001,above
ada_score,0.9000000000000001,above
ada_score,0.95,above
rf_score,0.05,above
rf_score,0.1,above
rf_score,0.15000000000000002,above
rf_score,0.2,above
rf_score,0.25,above
rf_score,0.3,above
rf_score,0.35000000000000003,above
rf_score,0.4,above
rf_score,0.45,above
rf_score,0.5,above
rf_score,0.55,above
rf_score,0.6000000000000001,above
rf_score,0.6500000000000001,above
rf_score,0.7000000000000001,above
rf_score,0.7500000000000001,above
rf_score,0.8,above
rf_score,0.8500000000000001,above
rf_score,0.9000000000000001,above
rf_score,0.95,above
